Dataset,Model,PC Dimension,F,p_raw,n_prompts_compared,n_total_obs,p_corrected,reject_null
Kumar et al. 2021,qwen7b,Gender: Female,8.117540928750891,1.6212418938471404e-06,5,4157,0.0003615369423279123,True
Kumar et al. 2021,qwen7b,Gender: Male,8.070066970056434,1.773953452127032e-06,5,4062,0.0003938176663722011,True
Kumar et al. 2021,qwen7b,Gender: Nonbinary,6.437203353208001,3.68428265739457e-05,5,3982,0.006373808997292606,True
Kumar et al. 2021,qwen7b,Gender: Unknown,6.703736689953436,2.2498029694176958e-05,5,4099,0.00407214337464603,True
Kumar et al. 2021,qwen7b,Has Been Targeted: False,7.6994412758301305,3.512480967916732e-06,5,4885,0.0007446459651983472,True
Kumar et al. 2021,qwen7b,Has Been Targeted: True,8.574997840494156,6.823353224626094e-07,5,4866,0.00015971271755775728,True
Kumar et al. 2021,qwen7b,Is Parent: No,7.17088484456416,9.431744122790763e-06,5,4484,0.0018203266156986172,True
Kumar et al. 2021,qwen7b,Is Parent: Prefer not to say,8.02164897567071,1.9306497500411544e-06,5,4537,0.00042474294500905395,True
Kumar et al. 2021,qwen7b,Is Parent: Yes,7.493452495317837,5.1772943128591295e-06,5,4460,0.0010716999227618398,True
Kumar et al. 2021,qwen7b,Is Transgender: No,9.106638323703095,2.524718343094683e-07,5,4503,6.412784591460496e-05,True
Kumar et al. 2021,qwen7b,Is Transgender: Prefer not to say,7.92128104997984,2.331390036075947e-06,5,4442,0.0005059116378284805,True
Kumar et al. 2021,qwen7b,Is Transgender: Yes,7.729402962939739,3.334177718359458e-06,5,4483,0.0007101798540105645,True
Kumar et al. 2021,qwen7b,Political Affiliation: Conservative,5.669296995258464,0.0001511359690781608,5,3765,0.022972667299880442,True
Kumar et al. 2021,qwen7b,Political Affiliation: Independent,7.04498733655315,1.2009318613456888e-05,5,3720,0.002257751899329895,True
Kumar et al. 2021,qwen7b,Political Affiliation: Liberal,8.279555803822927,1.2085191768406093e-06,5,3586,0.00027675089149649954,True
Kumar et al. 2021,qwen7b,Political Affiliation: Other,6.4649027983495495,3.5149061559509116e-05,5,3579,0.006151085772914095,True
Kumar et al. 2021,qwen7b,Political Affiliation: Prefer not to say,5.617294044457617,0.0001664158057382467,5,3593,0.024962370860737007,True
Kumar et al. 2021,qwen7b,Religion Important: 1) No,6.807722749334706,1.8675668603884293e-05,5,3536,0.00343632302311471,True
Kumar et al. 2021,qwen7b,Religion Important: 2) Not very,6.046180678499222,7.584428630275314e-05,5,3686,0.012210930094743255,True
Kumar et al. 2021,qwen7b,Religion Important: 3) Somewhat,7.376772352875665,6.4940916675362165e-06,5,3649,0.0013053124251747796,True
Kumar et al. 2021,qwen7b,Religion Important: 4) Very,5.692622310668773,0.00014480994443239996,5,3783,0.022300731442589594,True
Kumar et al. 2021,qwen7b,Religion Important: Prefer not to say,4.879884071929985,0.0006342436500784242,5,3706,0.07991469990988145,False
Kumar et al. 2021,qwen7b,Seen Toxicity: False,8.179817132042796,1.4308497675840872e-06,5,4891,0.0003233720474740037,True
Kumar et al. 2021,qwen7b,Seen Toxicity: True,7.321984479530685,7.097711269138504e-06,5,4888,0.0013982491200202854,True
Kumar et al. 2021,qwen7b,Sexual Orientation: Bisexual,9.057703469012912,2.807706374718257e-07,5,3691,7.075420064290007e-05,True
Kumar et al. 2021,qwen7b,Sexual Orientation: Heterosexual,7.0852004703233655,1.1154548257064763e-05,5,3664,0.0021305187170993696,True
Kumar et al. 2021,qwen7b,Sexual Orientation: Homosexual,6.257327580027696,5.1481702744840724e-05,5,3634,0.008648926061133242,True
Kumar et al. 2021,qwen7b,Sexual Orientation: Other,5.002612461949774,0.0005083668442153569,5,3624,0.06710442343642711,False
Kumar et al. 2021,qwen7b,Sexual Orientation: Prefer not to say,6.746196364000486,2.089709340388751e-05,5,3647,0.0038241680929114144,True
Kumar et al. 2021,qwen7b,Technology Impact: 1) Very negative,5.294350861954523,0.00029961262589721295,5,3607,0.04256169164157151,True
Kumar et al. 2021,qwen7b,Technology Impact: 2) Somewhat negative,7.048488038247563,1.1926823970619691e-05,5,3753,0.0022541697304471215,True
Kumar et al. 2021,qwen7b,Technology Impact: 3) Neutral,7.298438209011424,7.5029013636552416e-06,5,3731,0.0014705686672764273,True
Kumar et al. 2021,qwen7b,Technology Impact: 4) Somewhat positive,5.970321919576918,8.708918247885815e-05,5,3792,0.013847180014138446,True
Kumar et al. 2021,qwen7b,Technology Impact: 5) Very positive,6.272105952744311,5.009545636801349e-05,5,3645,0.00846613212619428,True
Kumar et al. 2021,qwen7b,Toxicity Problem: 1) Never,7.204648912958357,8.936803222213036e-06,5,3673,0.001733739825109329,True
Kumar et al. 2021,qwen7b,Toxicity Problem: 2) Rarely,8.649267882515835,6.04415750466386e-07,5,3647,0.00014324653286053348,True
Kumar et al. 2021,qwen7b,Toxicity Problem: 3) Occasionally,4.397021583710319,0.0015106539991335786,5,3601,0.1555973619107586,False
Kumar et al. 2021,qwen7b,Toxicity Problem: 4) Frequently,7.3420364128173325,6.930325760811676e-06,5,3615,0.0013722045006407117,True
Kumar et al. 2021,qwen7b,Toxicity Problem: 5) Very Frequently,5.297654061816482,0.00029763420728371685,5,3697,0.04256169164157151,True
Sap et al. 2022,llama70b,Age: 1) Gen. X+,2.10474086695096,0.07798818621842497,5,1398,1.0,False
Sap et al. 2022,llama70b,Age: 2) Millennial,1.9220789568298808,0.10434586452058014,5,1368,1.0,False
Sap et al. 2022,llama70b,Age: 3) Gen. Z,1.8972504693811598,0.10849915723011015,5,1394,1.0,False
Sap et al. 2022,llama70b,Ethnicity: black,1.5964874316304853,0.17292995367329564,5,1136,1.0,False
Sap et al. 2022,llama70b,Ethnicity: hisp,1.2782723125228037,0.27658894919819743,5,1131,1.0,False
Sap et al. 2022,llama70b,Ethnicity: middleEastern,1.3808865264686019,0.23839805966786706,5,1165,1.0,False
Sap et al. 2022,llama70b,Ethnicity: other,2.3822214441035743,0.04980118179884928,5,1137,1.0,False
Sap et al. 2022,llama70b,Ethnicity: white,1.1332838882681688,0.33923024392324735,5,1139,1.0,False
Sap et al. 2022,llama70b,Gender: man,1.9653302053870767,0.09742905161424337,5,1400,1.0,False
Sap et al. 2022,llama70b,Gender: nonBinary,1.8017868712421894,0.12602732313210271,5,1339,1.0,False
Sap et al. 2022,llama70b,Gender: woman,2.220376943220711,0.06471037339081766,5,1384,1.0,False
Sap et al. 2022,olmo32b,Age: 1) Gen. X+,13.111085278116725,1.7402216275563474e-10,5,1397,5.098849368740098e-08,True
Sap et al. 2022,olmo32b,Age: 2) Millennial,12.908254634092891,2.5596878511221854e-10,5,1367,7.423094768254338e-08,True
Sap et al. 2022,olmo32b,Age: 3) Gen. Z,12.922037496387553,2.4757300106057446e-10,5,1392,7.204374330862716e-08,True
Sap et al. 2022,olmo32b,Ethnicity: black,12.074708251812833,1.299491176107098e-09,5,1131,3.6645651166220163e-07,True
Sap et al. 2022,olmo32b,Ethnicity: hisp,11.031289836794361,8.877086345764022e-09,5,1131,2.458952917776634e-06,True
Sap et al. 2022,olmo32b,Ethnicity: middleEastern,12.182601240661715,1.051495069397464e-09,5,1164,2.975731046394823e-07,True
Sap et al. 2022,olmo32b,Ethnicity: other,10.495801609579214,2.376200171161289e-08,5,1135,6.463264465558706e-06,True
Sap et al. 2022,olmo32b,Ethnicity: white,9.308139187587368,2.1113447712032566e-07,5,1136,5.4261560619923695e-05,True
Sap et al. 2022,olmo32b,Gender: man,13.299622683392117,1.2262474274953363e-10,5,1397,3.617429911111242e-08,True
Sap et al. 2022,olmo32b,Gender: nonBinary,14.92184886332919,6.186164422591082e-12,5,1339,1.8558493267773247e-09,True
Sap et al. 2022,olmo32b,Gender: woman,14.371069489878217,1.6866199642399568e-11,5,1383,5.042993693077471e-09,True
Sap et al. 2022,qwen32b,Age: 1) Gen. X+,0.9321610596863036,0.4443073189955682,5,1398,1.0,False
Sap et al. 2022,qwen32b,Age: 2) Millennial,0.4308900459592029,0.7864018436428912,5,1368,1.0,False
Sap et al. 2022,qwen32b,Age: 3) Gen. Z,0.3374256231757349,0.8528339170418662,5,1394,1.0,False
Sap et al. 2022,qwen32b,Ethnicity: black,0.34979721717211704,0.8442715246678834,5,1136,1.0,False
Sap et al. 2022,qwen32b,Ethnicity: hisp,0.6528340068570728,0.6249416394458083,5,1131,1.0,False
Sap et al. 2022,qwen32b,Ethnicity: middleEastern,1.0766895013507718,0.36661390896236007,5,1165,1.0,False
Sap et al. 2022,qwen32b,Ethnicity: other,0.5805842234091958,0.6767654141472647,5,1137,1.0,False
Sap et al. 2022,qwen32b,Ethnicity: white,0.5559071866403742,0.694745893722671,5,1139,1.0,False
Sap et al. 2022,qwen32b,Gender: man,0.7867069886450782,0.5337724570855087,5,1400,1.0,False
Sap et al. 2022,qwen32b,Gender: nonBinary,0.46764834885438356,0.7595281699898899,5,1339,1.0,False
Sap et al. 2022,qwen32b,Gender: woman,0.3699784690955685,0.8301442376044325,5,1384,1.0,False
Sap et al. 2022,qwen7b,Age: 1) Gen. X+,1.2070582201851872,0.3059085800673805,5,1398,1.0,False
Sap et al. 2022,qwen7b,Age: 2) Millennial,1.5756456133438383,0.17833197307079265,5,1368,1.0,False
Sap et al. 2022,qwen7b,Age: 3) Gen. Z,1.8963825998481851,0.10864753285910636,5,1394,1.0,False
Sap et al. 2022,qwen7b,Ethnicity: black,0.7707225706287526,0.5442942004606307,5,1136,1.0,False
Sap et al. 2022,qwen7b,Ethnicity: hisp,0.9902159201635505,0.4117987666341638,5,1131,1.0,False
Sap et al. 2022,qwen7b,Ethnicity: middleEastern,1.1829068143290695,0.3165761523822778,5,1165,1.0,False
Sap et al. 2022,qwen7b,Ethnicity: other,2.422950740011364,0.046579462192763744,5,1137,1.0,False
Sap et al. 2022,qwen7b,Ethnicity: white,1.3819286186850823,0.2380518096004971,5,1139,1.0,False
Sap et al. 2022,qwen7b,Gender: man,1.3717444754861319,0.24148088874131834,5,1400,1.0,False
Sap et al. 2022,qwen7b,Gender: nonBinary,1.795676208683536,0.1272321763929878,5,1339,1.0,False
Sap et al. 2022,qwen7b,Gender: woman,2.147142415788053,0.07284854996241494,5,1384,1.0,False
